Entry,Cross-reference (Pfam),Cross-reference (InterPro)
P0AC41,PF00890;PF02910;,IPR003953;IPR036188;IPR003952;IPR037099;IPR015939;IPR027477;IPR011281;IPR014006;
P07014,PF13085;,IPR036010;IPR001041;IPR017896;IPR017900;IPR012675;IPR009051;IPR004489;IPR025192;
P69054,PF01127;,IPR034804;IPR018495;IPR014314;IPR000701;
P07026,PF03472;PF00196;,IPR016032;IPR005143;IPR036693;IPR000792;IPR036388;
P10408,PF02810;PF07517;PF01043;PF07516;,IPR027417;IPR004027;IPR000185;IPR020937;IPR011115;IPR014018;IPR011130;IPR011116;IPR036266;IPR036670;
P0AG86,PF02556;,IPR003708;IPR035958;
P0AG90,PF07549;PF13721;PF02355;,IPR005791;IPR027398;IPR022813;IPR022645;IPR022646;
P0AG96,PF00584;,IPR005807;IPR038379;IPR001901;
P0AG93,PF07549;PF02355;,IPR022813;IPR022645;IPR022646;IPR005665;
P0AG99,PF03840;,IPR004692;
P14081,PF00009;PF03144;PF09106;PF09107;,IPR004161;IPR015190;IPR015191;IPR031157;IPR027417;IPR000795;IPR009000;IPR009001;IPR004535;IPR036388;IPR036390;
P0AFY8,PF03925;PF17206;,IPR013321;IPR010985;IPR005621;IPR026577;IPR036835;IPR033761;
P0AGB0,,IPR036412;IPR023214;IPR023190;
P23721,PF00266;,IPR000192;IPR020578;IPR022278;IPR015424;IPR015422;IPR015421;
P0A8L1,PF02403;PF00587;,IPR002314;IPR006195;IPR002317;IPR015866;IPR033729;IPR010978;
P0ABW5,PF00419;,IPR000259;IPR036937;IPR008966;
P0A823,PF03749;,IPR005224;IPR040452;
P37678,PF00215;,IPR013785;IPR001754;IPR011060;
P39364,PF03437;,IPR005137;IPR011060;
P39361,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;
P37194,PF03843;,IPR004658;
P0AGC3,PF01464;PF14718;,IPR023346;IPR037061;IPR012289;IPR008939;IPR000189;IPR008258;
P0A9K9,PF00254;,IPR001179;
P0A832,PF01668;,IPR023620;IPR000037;IPR020081;
P15373,PF15937;,IPR031848;IPR007159;IPR037914;
P0A9E2,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P21170,PF17810;PF02784;,IPR009006;IPR040634;IPR002985;IPR022657;IPR022644;IPR022653;IPR000183;IPR029066;
P60651,PF00491;,IPR023694;IPR005925;IPR006035;IPR023696;IPR020855;
P0AG24,PF13291;PF13328;PF04607;PF02824;,IPR002912;IPR012675;IPR003607;IPR004811;IPR007685;IPR004095;IPR012676;IPR033655;
P08395,PF01343;,IPR029045;IPR004634;IPR004635;IPR002142;IPR033854;
P77754,PF07813;,IPR012899;
P05706,PF03829;,IPR004716;IPR036665;IPR018454;
P15082,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;
P21507,PF00270;PF00271;,IPR011545;IPR028621;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;
P0AGE0,PF00436;,IPR012340;IPR000424;IPR011344;
P0AFZ1,PF07179;PF14581;,IPR027945;IPR009839;
Q46812,PF01979;,IPR006680;IPR017700;IPR011059;IPR032466;
P0ACA3,PF00043;PF02798;,IPR010987;IPR036282;IPR040079;IPR004045;IPR004046;IPR034341;IPR036249;
P0AFZ3,PF04386;,IPR007481;IPR036760;
P0AAI1,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;IPR017875;
P80645,PF00296;,IPR019911;IPR011251;IPR036661;
P77515,PF07484;PF03335;,IPR005003;IPR011083;IPR037053;
P76072,PF07484;PF03335;PF08400;,IPR008969;IPR013609;IPR005003;IPR011083;IPR037053;
P0ACG1,PF00816;,IPR027444;IPR037150;IPR001801;IPR027454;
P0AFG3,PF16078;PF00676;PF16870;PF02779;,IPR032106;IPR011603;IPR001017;IPR031717;IPR029061;IPR005475;
P0AFG6,PF00198;PF00364;PF02817;,IPR003016;IPR001078;IPR000089;IPR023213;IPR036625;IPR004167;IPR011053;IPR006255;
P0AGE9,PF02629;PF00549;,IPR017440;IPR033847;IPR003781;IPR005810;IPR005811;IPR036291;IPR016102;
P77522,PF01458;,IPR010231;IPR000825;IPR037284;
P77499,PF00005;,IPR003593;IPR003439;IPR017871;IPR010230;IPR027417;
P26648,PF00394;PF07731;PF07732;,IPR001117;IPR011706;IPR011707;IPR008972;IPR026589;IPR006311;IPR019546;
P77444,PF00266;,IPR000192;IPR020578;IPR010970;IPR015424;IPR015422;IPR015421;
P0ADG4,PF00459;,IPR033942;IPR020583;IPR000760;IPR020550;IPR022337;
P0AFZ5,PF03846;,IPR004596;IPR027417;
P0A8U0,PF07348;,IPR009948;IPR038228;
P05100,PF03352;,IPR005019;IPR011257;IPR004597;
P0A867,PF00923;,IPR013785;IPR001585;IPR004730;IPR018225;
P07017,PF00672;PF00015;PF02203;,IPR035440;IPR004090;IPR004091;IPR003660;IPR004089;IPR003122;
P69425,,IPR018448;
P69423,PF00902;,IPR019820;IPR002033;
P0A843,PF02416;,IPR003369;IPR006312;IPR024905;
Q47537,PF04069;,IPR007210;IPR010068;IPR001638;
P42630,PF03313;PF03315;,IPR029009;IPR004644;IPR005130;IPR005131;
P07913,PF08240;PF00107;,IPR013149;IPR013154;IPR002328;IPR011032;IPR004627;IPR036291;IPR020843;
P09153,PF02413;,IPR003458;
P76422,PF08543;,IPR004399;IPR013749;IPR029056;
P30138,PF00899;,IPR012731;IPR000594;IPR035985;
P30139,PF05690;,IPR013785;IPR033983;IPR008867;
P30140,PF06968;PF04055;,IPR013785;IPR010722;IPR007197;IPR012726;IPR034428;
P0A8M3,PF03129;PF02824;PF00587;PF07973;,IPR002314;IPR006195;IPR004154;IPR036621;IPR012675;IPR004095;IPR012676;IPR002320;IPR018163;IPR033728;IPR012947;
P0A850,PF00254;PF05698;PF05697;,IPR001179;IPR005215;IPR008880;IPR037041;IPR008881;IPR036611;IPR027304;
P52097,PF01171;PF09179;PF11734;,IPR012796;IPR014729;IPR011063;IPR012094;IPR012795;IPR015262;
P0A853,PF01212;,IPR001597;IPR011166;IPR015424;IPR015422;IPR015421;IPR013440;IPR018176;
P19934,PF06519;,IPR014161;
P0A855,PF07676;PF04052;,IPR011042;IPR011659;IPR014167;IPR007195;IPR036752;
P02930,PF02321;,IPR003423;IPR010130;
P0ABU9,PF01618;,IPR002898;IPR014163;
P0ABV6,PF02472;,IPR003400;IPR014168;
P02929,PF03544;,IPR003538;IPR006260;IPR037682;
P06612,PF08272;PF01131;PF01751;PF01396;,IPR000380;IPR003601;IPR023406;IPR013497;IPR013824;IPR013825;IPR013826;IPR023405;IPR003602;IPR013498;IPR005733;IPR013263;IPR028612;IPR006171;IPR034149;
P14294,PF01131;PF01751;,IPR000380;IPR003601;IPR023406;IPR013497;IPR013824;IPR013825;IPR013826;IPR023405;IPR003602;IPR005738;IPR006171;IPR034144;
P33225,PF00384;PF01568;,IPR009010;IPR006658;IPR006657;IPR006656;IPR006655;IPR006311;IPR011887;
P33226,PF03264;,IPR009154;IPR011031;IPR036280;IPR005126;IPR038266;
P36662,PF02613;,IPR023069;IPR020945;IPR036386;IPR036411;
Q2EES9,,
P38684,PF00072;PF00486;,IPR011006;IPR001867;IPR001789;IPR039420;IPR036388;
P39453,PF00672;PF02518;PF00512;PF01627;PF00072;,IPR011006;IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR036641;IPR037952;IPR004358;IPR008207;IPR014302;IPR001789;IPR038188;
P0A858,PF00121;,IPR013785;IPR035990;IPR022896;IPR000652;IPR020861;
P0A862,PF08534;,IPR013740;IPR036249;IPR013766;IPR002065;IPR018219;
P36673,PF00356;,IPR000843;IPR010982;IPR028082;IPR012771;
P05704,PF00672;PF00015;PF02203;,IPR035440;IPR004090;IPR004091;IPR003660;IPR004089;IPR003122;
P23003,PF05958;,IPR030390;IPR030391;IPR029063;IPR011869;IPR010280;
P77182,PF01266;PF05430;,IPR006076;IPR036188;IPR008471;IPR023032;IPR017610;
P0A873,PF01746;,IPR029028;IPR002649;IPR023148;IPR029026;IPR016009;
P25522,PF01926;PF12631;PF10396;,IPR031168;IPR018948;IPR006073;IPR004520;IPR027368;IPR025867;IPR027417;IPR005225;IPR027266;
P0AGJ2,PF12105;PF00588;,IPR029028;IPR022724;IPR001537;IPR033671;IPR029026;
P25745,,IPR023382;IPR014729;IPR004506;
P0A877,PF00290;,IPR013785;IPR011060;IPR018204;IPR002028;
P0A879,PF00291;,IPR001926;IPR006653;IPR006654;IPR023026;IPR036052;
P00895,PF04715;PF00425;,IPR005801;IPR019999;IPR006805;IPR005257;IPR015890;
P07649,PF01416;,IPR020103;IPR001406;IPR020097;IPR020095;
Q57261,PF01142;,IPR020103;IPR001656;IPR020119;IPR011760;
P0AA25,PF00085;,IPR005746;IPR036249;IPR017937;IPR013766;
P0A9P4,PF07992;,IPR036188;IPR023753;IPR008255;IPR000103;IPR005982;
P0AGG4,PF00085;,IPR005746;IPR036249;IPR017937;IPR013766;
P0AC35,PF05683;,IPR004647;IPR036660;
P0CE48,PF00009;PF03144;PF03143;,IPR004161;IPR033720;IPR031157;IPR027417;IPR005225;IPR000795;IPR009000;IPR009001;IPR004541;IPR004160;
P0CE47,PF00009;PF03144;PF03143;,IPR004161;IPR033720;IPR031157;IPR027417;IPR005225;IPR000795;IPR009000;IPR009001;IPR004541;IPR004160;
P16525,PF05472;,IPR008865;IPR036381;IPR036384;
P07023,PF01817;PF02153;,IPR008927;IPR008244;IPR036263;IPR036979;IPR002701;IPR011277;IPR036291;IPR003099;
P04693,PF00155;,IPR004839;IPR000796;IPR004838;IPR015424;IPR015422;IPR015421;
P26602,PF04345;,IPR007440;IPR028978;
P75728,PF01494;,IPR002938;IPR036188;IPR018168;IPR010971;
P17993,,IPR029063;IPR010233;
P25534,PF01494;,IPR002938;IPR036188;IPR018168;IPR011295;IPR010971;
P0A8F4,PF00485;,IPR027417;IPR006083;IPR000764;IPR026008;
P0AG80,PF13416;,IPR006059;IPR006061;
P05804,PF00703;PF02836;PF02837;,IPR036156;IPR008979;IPR006101;IPR023232;IPR006103;IPR023230;IPR006102;IPR006104;IPR017853;IPR013783;
P0ACT6,PF00440;,IPR023772;IPR009057;IPR001647;IPR036271;IPR039419;
P39301,PF03611;,IPR004703;
P69822,PF02302;,IPR036095;IPR013011;IPR003501;
P39305,PF01261;,IPR004560;IPR023492;IPR036237;IPR013022;
P0A9W0,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR023711;IPR036388;IPR036390;
P04152,PF13438;PF00817;PF11799;PF11798;,IPR036775;IPR017961;IPR025188;IPR024728;IPR001126;
P0AG11,PF00717;,IPR039418;IPR036286;IPR006197;IPR015927;
P12295,PF03167;,IPR002043;IPR018085;IPR005122;IPR036895;
P0A8F0,,IPR000836;IPR029057;IPR034332;IPR005765;
P08390,PF01118;PF02774;,IPR036291;IPR000534;IPR012280;
P07024,PF02872;PF00149;,IPR008334;IPR036907;IPR006146;IPR006179;IPR004843;IPR029052;
P0AED0,PF00582;,IPR014729;IPR006015;IPR006016;
P39177,PF00582;,IPR014729;IPR006015;IPR006016;
P0A698,PF00005;,IPR003439;IPR017871;IPR027417;IPR004602;
P0A8F8,PF00271;PF04851;PF02151;PF12344;,IPR006935;IPR014001;IPR001650;IPR027417;IPR001943;IPR036876;IPR004807;IPR024759;
P0A8G0,PF01541;PF02151;PF08459;,IPR000305;IPR035901;IPR003583;IPR010994;IPR001943;IPR036876;IPR004791;IPR001162;IPR038476;
P03018,PF00580;PF13361;,IPR013986;IPR005753;IPR014017;IPR000212;IPR027417;IPR014016;IPR034739;
P24215,PF03786;,IPR004628;IPR036237;
P76506,PF04333;,IPR007428;
P07118,PF08264;PF00133;PF10458;,IPR001412;IPR002300;IPR033705;IPR013155;IPR014729;IPR010978;IPR009080;IPR037118;IPR019499;IPR009008;IPR002303;
P09184,PF03852;,IPR004603;IPR011335;
P71237,PF13439;PF00534;,IPR023916;IPR001296;IPR028098;
P71238,,IPR024013;
P71239,PF00535;,IPR024010;IPR001173;IPR029044;
P71241,PF02397;,IPR003362;IPR017475;IPR017473;
P71243,PF13439;PF00534;,IPR023884;IPR001296;IPR028098;
P23841,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;IPR037409;
Q46801,PF00111;PF01799;,IPR002888;IPR036884;IPR036010;IPR001041;IPR012675;
P0A8P8,PF02899;PF00589;,IPR011010;IPR013762;IPR002104;IPR010998;IPR004107;IPR011932;IPR023009;
P0A8G9,PF02609;,IPR003761;IPR037004;
P09030,PF03372;,IPR004808;IPR020847;IPR020848;IPR036691;IPR005135;IPR037493;
P00944,,IPR036237;IPR013452;IPR001998;
P09099,PF02782;PF00370;,IPR000577;IPR018485;IPR018483;IPR018484;IPR006000;
P0A8I3,PF03883;,IPR005583;
P0A8E5,PF06062;,IPR008249;
P27305,PF00749;,IPR022380;IPR000924;IPR020058;IPR014729;
P36879,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P28634,PF01980;,IPR023370;IPR023368;IPR040372;IPR036413;IPR036414;
P0A940,PF01103;PF07244;,IPR000184;IPR010827;IPR039910;IPR023707;IPR034746;
P30864,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
Q47147,PF13230;,IPR017932;IPR029055;IPR026869;
Q47151,PF00877;,IPR000064;IPR038765;
Q47152,,IPR002686;IPR036515;
Q47156,,IPR036165;
P77365,,
P37007,PF00665;,IPR009057;IPR038965;IPR001584;IPR012337;IPR036397;
P77165,PF00111;PF01799;,IPR002888;IPR036884;IPR036010;IPR001041;IPR006058;IPR012675;IPR006311;
P0AAA1,PF07274;,IPR009898;
P77188,,IPR013783;IPR008962;
P77700,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P77297,PF11392;,IPR021530;
P77187,PF02629;PF00549;,IPR003781;IPR005811;IPR016102;
P77221,PF06545;,IPR009499;IPR024033;
P77554,PF07969;,IPR013108;IPR011059;IPR032466;IPR006311;
P75691,PF08240;PF00107;,IPR013149;IPR013154;IPR002328;IPR029752;IPR011032;IPR036291;IPR020843;
P75693,PF01810;,IPR004778;IPR001123;
P0AAN9,PF10796;,IPR019732;
P0A8D3,PF02639;,IPR003791;
Q47536,PF00535;,IPR001173;IPR029044;
P77562,PF07759;,IPR011673;
P0ADZ7,PF02699;,IPR003849;
Q46948,PF01965;,IPR029062;IPR006287;IPR002818;
P0A8E7,PF04461;,IPR007551;IPR035571;IPR035570;IPR036183;
P0A8D0,PF03477;,IPR005144;IPR003796;
P39830,PF00999;PF02254;,IPR006153;IPR004771;IPR038770;IPR036291;IPR003148;
P45807,PF10689;,IPR019630;
P0A9T6,PF01381;,IPR001387;IPR010982;IPR013430;
P77756,PF06508;,IPR018317;IPR014729;
P77717,PF09619;,IPR039366;
P0AA53,PF01145;PF16200;,IPR001107;IPR036013;IPR018080;IPR032435;IPR001972;
P77279,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P77395,PF00085;,IPR036249;IPR013766;IPR011990;
P77504,,IPR038766;
P0ACR0,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P68661,PF07102;,IPR010774;
Q47274,PF06530;,IPR010534;
P78285,PF00959;,IPR033907;IPR002196;IPR023346;
P64435,,
P0A8Y8,PF03061;,IPR029069;IPR003736;IPR026576;IPR006683;
P45579,PF00465;,IPR001670;IPR018211;IPR016205;
P77806,PF00155;,IPR004839;IPR015424;IPR015422;IPR015421;
P77174,PF02195;,IPR003115;IPR036086;
P0A8I8,PF02590;,IPR029028;IPR003742;IPR029026;
P0A8J4,PF04359;,IPR007454;IPR027471;
P77234,PF08238;,IPR006597;IPR011990;
P77627,PF06889;,IPR009677;
P0A9K3,PF02562;,IPR027417;IPR003714;
P75736,PF12697;,IPR029058;IPR000073;
P37003,PF10946;,IPR021239;
P0A8Z3,PF03061;,IPR008272;IPR029069;IPR006683;IPR014166;IPR006684;
P37909,PF00419;,IPR000259;IPR036937;IPR008966;
P45955,PF16331;PF13174;,IPR034706;IPR014162;IPR013026;IPR011990;IPR019734;IPR032519;
P75745,PF02626;,IPR003778;IPR029000;
P0A9U1,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P75767,PF01933;,IPR002882;IPR010119;IPR038136;
P30176,PF08719;,IPR012816;IPR037238;
P30178,PF02615;,IPR036111;IPR003767;
P0ACU0,PF09209;PF00440;,IPR023772;IPR009057;IPR001647;IPR036271;IPR039419;IPR015292;
P0AAX8,PF03734;,IPR005490;IPR038063;
P75791,PF07350;,IPR010856;IPR027443;
P75826,PF03956;,IPR005642;
P0A8C1,PF01906;,IPR002765;IPR035439;
P75829,PF04393;,IPR007488;
P21367,PF00857;,IPR000868;IPR036380;
P0AAZ4,PF00004;PF16193;PF12002;,IPR003593;IPR032423;IPR003959;IPR008921;IPR021886;IPR027417;
P43674,PF01435;,IPR001915;
P75838,PF02624;,IPR003776;
P75843,PF06224;,IPR009351;
P22525,PF01471;PF03734;,IPR005490;IPR002477;IPR036365;IPR038063;
P0A8N0,PF06303;PF17414;,IPR013321;IPR009390;IPR035375;IPR035087;IPR038339;
P0AB03,PF01636;,IPR002575;IPR011009;
P75849,PF00753;,IPR001279;IPR036866;
P75862,PF07126;,IPR009809;
P75863,PF00111;PF03473;PF03476;,IPR036010;IPR001041;IPR006058;IPR012675;IPR005302;IPR005303;IPR011037;
P75864,PF10672;PF02926;PF01170;,IPR017244;IPR002052;IPR000241;IPR019614;IPR029063;IPR004114;
P75869,PF04994;PF04993;,IPR007077;IPR007076;IPR026256;
P0A8X4,PF09829;,IPR018635;
P75874,PF13380;,IPR003781;IPR036291;
P0ACU2,PF08362;PF00440;,IPR009057;IPR001647;IPR036271;IPR039419;IPR019915;IPR013573;
P69432,PF13994;,IPR023829;
P75913,PF02826;,IPR029753;IPR006140;IPR023514;IPR036291;
P24188,PF00581;PF12368;PF17773;,IPR001763;IPR036873;IPR022111;IPR020936;IPR040503;
P0AB28,PF02620;,IPR003772;IPR039255;
P0AFQ7,PF01026;,IPR018228;IPR015991;IPR032466;IPR001130;
P75946,PF07233;,IPR010824;IPR038483;
P0AB38,PF13036;,IPR014094;
P0A8E1,PF05728;,IPR029058;IPR022987;IPR008886;
P75989,PF13411;,IPR009061;IPR000551;
P75990,PF04940;PF00563;,IPR036046;IPR007024;IPR001633;IPR035919;
P76002,PF04151;,IPR007280;
P76010,PF07238;PF07317;,IPR009875;IPR023787;IPR009926;
P21363,PF05974;,IPR010287;IPR012347;IPR009078;
P21362,PF05974;,IPR010287;IPR012347;IPR009078;
P76034,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;
P0A8L7,PF04269;,IPR007376;IPR036763;
P77766,PF02811;,IPR004013;IPR003141;IPR016195;
P77503,PF01408;PF02894;,IPR036291;IPR000683;IPR004104;
P77615,PF00356;PF00532;,IPR000843;IPR010982;IPR001761;IPR028082;
P77333,PF00126;PF03466;,IPR005119;IPR000847;IPR036388;IPR036390;
P77302,PF00990;PF08448;,IPR000160;IPR029787;IPR000014;IPR000700;IPR035965;IPR013656;
P64423,PF01544;,IPR002523;IPR023714;
P76055,PF01171;,IPR014729;IPR011063;IPR012089;IPR035107;
P76064,PF06254;,IPR009364;IPR037042;
P77546,PF01695;,IPR028350;IPR002611;IPR027417;
P76066,PF07789;,IPR012432;IPR036388;IPR036390;
P76069,,
P52647,PF10371;PF17147;PF01558;PF01855;PF02775;,IPR017896;IPR017900;IPR033412;IPR037112;IPR019456;IPR019752;IPR002880;IPR011895;IPR002869;IPR029061;IPR011766;IPR009014;
P28917,PF01609;PF13808;,IPR002559;IPR032806;
P34209,PF02698;,IPR003848;IPR014729;
P76100,,IPR011004;
P76102,PF12323;PF01385;PF07282;,IPR001959;IPR010095;IPR021027;
P76104,PF12392;PF01136;,IPR020988;IPR001539;
P77730,PF00155;PF00392;,IPR004839;IPR015424;IPR015422;IPR015421;IPR000524;IPR036388;IPR036390;
P64455,PF10735;,IPR019671;
P76111,PF04657;,IPR006750;
P76121,PF01613;,IPR002563;IPR012349;
P77519,PF00267;,IPR023614;IPR001897;IPR001702;
P31129,PF00990;,IPR000160;IPR029787;
P76134,PF04055;PF13186;,IPR023885;IPR013785;IPR034491;IPR007197;
P76135,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P77561,PF00384;,IPR009010;IPR037951;IPR006656;IPR010046;
P77432,PF02782;PF00370;,IPR033676;IPR000577;IPR018485;IPR018484;
Q47138,,
P39831,PF00106;,IPR036291;IPR020904;IPR002347;
P0ACM2,PF07729;PF00392;,IPR011711;IPR008920;IPR000524;IPR036388;IPR036390;
P76160,PF07041;,IPR009759;
P76161,PF03589;,IPR003222;IPR036410;
P76162,PF06147;,IPR010373;IPR003615;
P64463,PF14001;,IPR017704;
P77804,PF06097;,IPR010352;
P76177,PF07338;,IPR025543;IPR010854;IPR025539;IPR036275;
P77376,PF01408;PF02894;,IPR036291;IPR000683;IPR004104;
P64467,PF05321;,IPR007985;IPR036666;
P67430,PF16925;PF00440;,IPR009057;IPR001647;IPR036271;IPR011075;IPR039419;
P77552,PF16168;PF03212;,IPR030930;IPR012332;IPR011050;IPR004899;
P0ACX3,PF08803;,IPR011008;IPR014910;
P77148,PF13454;,IPR036188;IPR038732;
P77409,PF01292;,IPR011577;IPR016174;
P0AAL6,PF13247;PF12800;,IPR017896;IPR017900;
P0A8A4,PF03618;,IPR005177;IPR026530;
P0ACX9,PF10636;,IPR019600;
P37766,PF01144;,IPR014388;IPR004165;IPR037171;
P76196,PF08965;,IPR015060;IPR010982;IPR027910;
P76197,PF07690;,IPR011701;IPR020846;IPR036259;IPR005829;
P77378,PF01012;PF00766;,IPR029035;IPR014730;IPR001308;IPR014731;IPR018206;IPR014729;
P77649,PF02696;,IPR003846;
P77721,PF00455;PF08220;,IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;
P77704,PF01116;,IPR013785;IPR000771;
P77539,PF08240;PF00107;,IPR013149;IPR013154;IPR002328;IPR011032;IPR036291;
P76213,,IPR000305;IPR035901;
P0A746,PF01641;,IPR028427;IPR002579;IPR011057;
P76237,PF17155;PF00990;,IPR033420;IPR000160;IPR029787;
P64483,PF04073;,IPR036754;IPR007214;
P76243,PF04343;,IPR007438;
P76245,PF13185;PF00990;,IPR003018;IPR029016;IPR000160;IPR029787;
P64488,PF09313;,IPR015392;IPR014710;IPR014510;
P76251,PF00180;,IPR019818;IPR024084;IPR011829;
P76256,PF00814;,IPR000905;IPR022496;
P33218,PF04391;,IPR029024;IPR007486;
P46118,PF01418;PF01380;,IPR009057;IPR000281;IPR035472;IPR001347;IPR036388;
P0AD03,PF04403;,IPR011031;IPR007498;IPR005219;
P76272,PF02470;,IPR003399;
P64503,PF07351;,IPR009950;
P76275,PF07358;,IPR009954;
P37774,PF00005;,IPR003593;IPR030679;IPR003439;IPR017871;IPR027417;
P37348,PF01904;,IPR002763;IPR036520;
P46888,PF00582;,IPR014729;IPR006015;IPR006016;
P31064,PF04143;,IPR007272;
P76319,PF00583;,IPR016181;IPR000182;
P76316,PF00291;,IPR027278;IPR005966;IPR023702;IPR001926;IPR036052;
P76329,,IPR036412;IPR006381;IPR006379;IPR023214;IPR012815;
P76339,PF02518;PF00512;,IPR006290;IPR003660;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR004358;
P76340,PF00072;PF00486;,IPR011006;IPR001867;IPR006291;IPR016032;IPR001789;IPR039420;IPR036388;
P33014,PF01206;,IPR001455;IPR036868;
P76346,PF06167;,IPR024079;IPR010384;
P76361,,
P76364,PF06154;,IPR009320;IPR038025;
P64526,,
P0AD12,PF01370;,IPR001509;IPR036291;
P76407,PF00781;,IPR017438;IPR005218;IPR001206;IPR022433;IPR016064;
P76417,PF03825;,IPR020846;IPR036259;IPR004740;
P33341,PF13953;PF13954;PF00577;,IPR000015;IPR018030;IPR025949;IPR025885;IPR037224;
P33354,PF06998;,IPR009736;IPR036699;
P0AFT5,PF04397;PF00072;,IPR011006;IPR007492;IPR001789;
P33361,PF00528;,IPR000515;IPR035906;
P25889,PF01180;,IPR017896;IPR017900;IPR013785;IPR005720;
P33021,PF07662;PF01773;,IPR008276;IPR018270;IPR011657;IPR002668;
P33024,PF07662;PF01773;,IPR008276;IPR018270;IPR011657;IPR002668;
P33030,PF02492;PF07683;,IPR011629;IPR003495;IPR027417;
P76440,PF14691;PF07992;,IPR028261;IPR036188;IPR023753;IPR009051;
P0AFT8,PF03692;,IPR005358;
P33916,PF00005;PF08352;,IPR003593;IPR003439;IPR017871;IPR013563;IPR027417;
P0AD21,PF13989;,IPR020489;
P33919,PF00271;PF04851;,IPR006935;IPR014001;IPR001650;IPR027417;IPR011332;
P77732,PF09339;PF01614;,IPR029016;IPR014757;IPR005471;IPR036388;IPR036390;
P37355,PF12697;,IPR029058;IPR000073;IPR022485;
P77757,PF00535;,IPR022857;IPR001173;IPR029044;
P77398,PF01370;PF02911;PF00551;,IPR021168;IPR001509;IPR005793;IPR002376;IPR036477;IPR011034;IPR036291;
P76472,PF01522;,IPR023557;IPR011330;IPR002509;
P76484,,
P0A959,PF00155;,IPR004839;IPR015424;IPR015422;IPR015421;
P77625,,IPR036412;IPR006439;IPR023214;IPR023198;
P39263,PF03606;,IPR018385;
P65556,PF00293;,IPR015797;IPR000086;IPR024195;
P64540,PF08891;,IPR014987;
P76938,PF04315;,IPR007411;
P76500,PF00419;,IPR000259;IPR036937;IPR008966;
P76501,PF00419;,IPR000259;IPR036937;IPR008966;
P77399,PF00725;PF02737;PF00378;,IPR006180;IPR006176;IPR006108;IPR008927;IPR029045;IPR001753;IPR012802;IPR036291;
P76503,PF02803;PF00108;,IPR012806;IPR002155;IPR016039;IPR020615;IPR020610;IPR020617;IPR020613;IPR020616;
P76518,PF02515;,IPR003673;IPR023606;
P76505,,
P77293,PF00535;,IPR001173;IPR029044;
P76512,,
P76514,,
P77434,PF00155;,IPR004839;IPR015424;IPR015422;IPR015421;
P23842,PF00563;PF05231;,IPR001633;IPR035919;IPR000160;IPR007895;IPR029787;
P24178,PF03960;,IPR006660;IPR036249;IPR006504;
P76540,PF00936;PF16365;,IPR020808;IPR037233;IPR032298;IPR000249;IPR036388;
P27434,PF13464;,IPR001387;IPR025194;IPR010982;IPR023690;
P36979,PF04055;,IPR013785;IPR040072;IPR027492;IPR004383;IPR007197;
P76576,PF09976;,IPR011990;IPR018704;IPR026039;
P0AFU4,PF00072;PF00158;,IPR003593;IPR011006;IPR009057;IPR027417;IPR001789;IPR002078;IPR025662;IPR025943;IPR025944;
P52102,PF00037;,IPR017896;IPR017900;
P0AE01,PF00588;,IPR029028;IPR004384;IPR001537;IPR029026;
P0AD49,PF02482;,IPR036567;IPR003489;
P0AGJ5,PF00588;PF08032;,IPR029028;IPR029064;IPR001537;IPR013123;IPR029026;IPR016479;
P0AC02,PF13525;,IPR017689;IPR039565;IPR011990;
P76594,PF00583;PF13380;PF13607;,IPR016181;IPR011761;IPR013815;IPR003781;IPR000182;IPR036291;IPR032875;IPR016102;
P37908,PF00571;PF03471;PF01595;,IPR000644;IPR002550;IPR036318;IPR016169;IPR005170;
P52126,PF00271;,IPR014001;IPR001650;IPR027417;
P52129,PF15935;,IPR031845;
P52138,,
P37339,PF01266;,IPR006076;IPR036188;IPR030862;
P77295,PF01022;,IPR011991;IPR001845;IPR036388;IPR036390;
Q46889,PF17042;PF07005;,IPR037051;IPR010737;IPR031475;
Q46891,PF01261;,IPR026040;IPR036237;IPR013022;
Q46896,PF01867;,IPR033641;IPR002729;IPR019851;
P64554,PF04055;,IPR024924;IPR013785;IPR007197;IPR027609;
Q46901,PF09481;,IPR013381;
